publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Lettres de Champollion le jeune 30 									http://hdl.handle.net/2333.1/47d7wx3m											Ancient World Digital Library	global.5644.217				
Metallgefässe 									http://hdl.handle.net/2333.1/37pvmpvc											Ancient World Digital Library	global.5644.217	733974724		733974724	
Les monuments dits Hycsos 									http://hdl.handle.net/2333.1/1c5b064w											Ancient World Digital Library	global.5644.217				
Papyrus funéraires de la XXIe dynastie v.1 									http://hdl.handle.net/2333.1/189328g9											Ancient World Digital Library	global.5644.217	672642237		672642237	
Papyrus funéraires de la XXIe dynastie v.2 									http://hdl.handle.net/2333.1/wh70s82r											Ancient World Digital Library	global.5644.217	672642237		672642237	
Ruines et paysages d'Égypte 									http://hdl.handle.net/2333.1/z8w9gv18											Ancient World Digital Library	global.5644.217	908790484		908790484	
Scarabs and cylinders with names 									http://hdl.handle.net/2333.1/fbg79prj											Ancient World Digital Library	global.5644.217	55858262		55858262	
The tomb of Thoutmôsis IV v.15 									http://hdl.handle.net/2333.1/cc2fr88h											Ancient World Digital Library	global.5644.217				
Travels in the Upper Egyptian deserts 									http://hdl.handle.net/2333.1/kwh7134n											Ancient World Digital Library	global.5644.217	654489440		654489440	
Une rue de tombeaux à Saqqarah v.1 									http://hdl.handle.net/2333.1/bcc2g22t											Ancient World Digital Library	global.5644.217				
Une rue de tombeaux à Saqqarah v.2 									http://hdl.handle.net/2333.1/6q573z74											Ancient World Digital Library	global.5644.217				
Untersuchungen zur geschichte und altertumskunde Aegyptens 1-3 									http://hdl.handle.net/2333.1/2z34txrw											Ancient World Digital Library	global.5644.217	846440549		846440549	
Untersuchungen zur geschichte und altertumskunde Aegyptens 8-9 									http://hdl.handle.net/2333.1/z612jxf7											Ancient World Digital Library	global.5644.217	846440549		846440549	
Untersuchungen zur geschichte und altertumskunde Aegyptens 10:1 									http://hdl.handle.net/2333.1/tdz08wz2											Ancient World Digital Library	global.5644.217	846440549		846440549	
Untersuchungen zur geschichte und altertumskunde Aegyptens 11 									http://hdl.handle.net/2333.1/pnvx0wft											Ancient World Digital Library	global.5644.217	846440549		846440549	
Untersuchungen zur geschichte und altertumskunde Aegyptens 12 									http://hdl.handle.net/2333.1/jwstqvvv											Ancient World Digital Library	global.5644.217	846440549		846440549	
Untersuchungen zur geschichte und altertumskunde Aegyptens 13 									http://hdl.handle.net/2333.1/f4qrfvbr											Ancient World Digital Library	global.5644.217	846440549		846440549	
Untersuchungen zur geschichte und altertumskunde Aegyptens 15 									http://hdl.handle.net/2333.1/9ghx3rh7											Ancient World Digital Library	global.5644.217	846440549		846440549	
A handbook of the Egyptian rooms 									http://hdl.handle.net/2333.1/vt4b8sz6				ebook							Ancient World Digital Library	global.5644.217	903451319		903451319	
Abydos v.22 									http://hdl.handle.net/2333.1/3j9kdg1p				ebook							Ancient World Digital Library	global.5644.217	603060474		603060474	
Abydos v.24 									http://hdl.handle.net/2333.1/79cnpghk				ebook							Ancient World Digital Library	global.5644.217	603060474		603060474	
Catalogue raisonné et historique des antiquités découvertes en Egypte 									http://hdl.handle.net/2333.1/6djhb61z				ebook							Ancient World Digital Library	global.5644.217	682197390		682197390	
Der Porträtkopf der Königin Teje im Besitz von Dr. James Simon in Berlin v.18 									http://hdl.handle.net/2333.1/mpg4fftq				ebook							Ancient World Digital Library	global.5644.217	746103147		746103147	
Die aegyptischen denkmäler in St. Petersburg, Helsingfors, Upsala und Copenhagen 									http://hdl.handle.net/2333.1/w3r22k37				ebook							Ancient World Digital Library	global.5644.217	679331453		679331453	
Egypt painted and described 									http://hdl.handle.net/2333.1/fqz61cnn	R. Talbot Kelly			ebook							Ancient World Digital Library	global.5644.217	654957362		654957362	
El Bersheh 									http://hdl.handle.net/2333.1/2jm647ts	Percy E. Newberry			ebook							Ancient World Digital Library	global.5644.217	780151927		780151927	
